TimeDeltaIndex,Time_s,COP,P_elec_kW,P_cond_kW,T_cond_in_degC,T_cond_out_degC,T_eva_in_degC,T_eva_out_degC,T_ext_degC,P_demand_kW,T_supply_degC,T_return_degC,anomaly
26400,26400.05,2.24,1957.58,4393.12,49.4,82.07,12.92,10.9,4.88,3355.52,80.06,50,0
27000,27000.05,2.25,1967.26,4433.27,49.1,82.05,12.92,10.9,4.87,3388.07,80.07,50,0
27600,27600.05,2.26,1976.91,4473.42,48.8,82.03,12.92,10.9,4.85,3420.61,80.08,50,0
28200,28200.06,2.27,1986.52,4513.57,48.5,82.02,12.92,10.9,4.83,3453.15,80.08,50,0
28800,28800.06,2.28,1995.71,4552.12,48.21,82,12.92,10.9,4.82,3485.7,80.09,50,0
29400,29400.06,2.27,1984.48,4507.4,48.5,81.98,12.92,10.93,4.8,3518.23,80.1,50,0
30000,30000.06,2.26,1972.83,4461.12,48.8,81.95,12.92,10.94,4.83,3486.9,80.08,50,0
30600,30600.06,2.25,1961.14,4414.84,49.1,81.93,12.92,10.94,4.87,3455.57,80.07,50,0
31200,31200.06,2.24,1949.41,4368.56,49.4,81.9,12.92,10.94,4.9,3424.23,80.05,50,0
31800,31800.06,2.23,1937.64,4322.27,49.7,81.88,12.92,10.94,4.93,3392.9,80.03,50,0
32400,32400.06,2.22,1925.53,4274.79,50,81.85,12.92,10.94,4.97,3361.57,80.02,50,0
33000,33000.07,2.21,1905.36,4208.41,50,81.56,12.92,10.95,5,3330.23,80,50,0
33600,33600.07,2.2,1885.07,4141.75,50,81.27,12.92,10.95,5.38,3281.04,79.81,50,0
34200,34200.07,2.19,1864.74,4075.09,50,80.98,12.92,10.95,5.77,3231.84,79.62,50,0
34800,34800.07,2.17,1844.37,4008.43,50,80.68,12.92,10.95,6.15,3182.64,79.42,50,0
35400,35400.07,2.16,1823.95,3941.77,50,80.39,12.92,10.95,6.53,3133.44,79.23,50,0
36000,36000.07,2.14,1792.99,3833.95,50,80.1,12.92,10.95,6.92,3084.24,79.04,50,0
36600,36600.07,2.13,1783.42,3806.04,50,79.9,12.92,10.95,7.3,3035.04,78.85,50,0
37200,37200.07,2.12,1763.21,3736.66,50,79.7,12.92,10.95,7.62,2982.29,78.69,50,0
37800,37800.07,2.1,1742.92,3667.29,50,79.5,12.92,10.95,7.93,2929.54,78.53,50,0
38400,38400.08,2.09,1722.54,3597.91,50,79.3,12.92,10.95,8.25,2876.79,78.37,50,0
39000,39000.08,2.07,1702.07,3528.53,50,79.1,12.92,10.95,8.57,2824.04,78.22,50,0
39600,39600.08,2.05,1679.34,3450.95,50,78.9,12.92,10.95,8.88,2771.29,78.06,50,0
40200,40200.08,2.05,1666.48,3410.98,50,78.7,12.92,10.94,9.2,2718.55,77.9,50,0
40800,40800.08,2.04,1651.42,3362.81,50,78.5,12.92,10.94,9.5,2680.89,77.75,50,0
41400,41400.08,2.03,1636.32,3314.63,50,78.3,12.92,10.94,9.8,2643.23,77.6,50,0
42000,42000.09,2.01,1621.18,3266.46,50,78.1,12.92,10.94,10.1,2605.58,77.45,50,0
42600,42600.09,2,1605.99,3218.29,50,77.9,12.92,10.94,10.4,2567.92,77.3,50,0
43200,43200.09,1.99,1584.01,3145.21,50,77.7,12.92,10.94,10.7,2530.26,77.15,50,0
43800,43800.09,1.98,1574.58,3115.67,50,77.58,12.92,10.94,11,2492.61,77,50,0
44400,44400.09,1.96,1558.24,3060.96,50,77.45,12.92,10.94,11.27,2449.86,76.87,50,0
45000,45000.09,1.95,1541.82,3006.26,50,77.33,12.92,10.94,11.53,2407.11,76.73,50,0
45600,45600.09,1.94,1525.32,2951.55,50,77.2,12.92,10.94,11.8,2364.36,76.6,50,0
46200,46200.09,1.92,1508.72,2896.85,50,77.08,12.92,10.94,12.07,2321.61,76.47,50,0
46800,46800.09,1.9,1489.88,2834.51,50,76.95,12.92,10.94,12.33,2278.86,76.33,50,0
47400,47400.09,1.9,1486.95,2826.57,50,76.88,12.92,10.93,12.6,2236.12,76.2,50,0
48000,48000.1,1.9,1481.8,2810.8,50,76.82,12.92,10.92,12.77,2221.03,76.12,50,0
48600,48600.1,1.89,1476.64,2795.03,50,76.75,12.92,10.92,12.93,2205.94,76.03,50,0
49200,49200.1,1.89,1471.48,2779.25,50,76.68,12.92,10.92,13.1,2190.85,75.95,50,0
49800,49800.1,1.88,1466.31,2763.48,50,76.62,12.92,10.92,13.27,2175.75,75.87,50,0
50400,50400.1,1.88,1460.58,2745.74,50,76.55,12.92,10.92,13.43,2160.66,75.78,50,0
51000,51000.1,1.88,1458.05,2736.62,50,76.56,12.92,10.92,13.6,2145.57,75.7,50,0
51600,51600.1,1.87,1454.88,2725.27,50,76.57,12.92,10.92,13.72,2132.93,75.64,50,0
52200,52200.11,1.87,1451.71,2713.92,50,76.58,12.92,10.92,13.83,2120.29,75.58,50,0
52800,52800.11,1.87,1448.53,2702.57,50,76.58,12.92,10.92,13.95,2107.65,75.52,50,0
53400,53400.11,1.86,1445.35,2691.23,50,76.59,12.92,10.92,14.07,2095.01,75.47,50,0
54000,54000.11,1.86,1443.83,2685.69,50,76.6,12.92,10.92,14.18,2082.37,75.41,50,0
54600,54600.11,1.86,1442.53,2678.59,50,76.67,12.92,10.92,14.3,2069.74,75.35,50,0
55200,55200.11,1.86,1442.83,2677.06,50,76.75,12.92,10.92,14.22,2064.93,75.39,50,0
55800,55800.11,1.85,1443.14,2675.54,50,76.82,12.92,10.92,14.13,2060.12,75.43,50,0
56400,56400.11,1.85,1443.44,2674.02,50,76.9,12.92,10.92,14.05,2055.31,75.47,50,0
57000,57000.11,1.85,1443.74,2672.49,50,76.97,12.92,10.92,13.97,2050.51,75.52,50,0
57600,57600.11,1.87,1463.03,2737.04,50,77.04,12.92,10.92,13.88,2045.7,75.56,50,0
58200,58200.12,1.85,1444.05,2666.77,50,77.17,12.92,10.92,13.8,2040.89,75.6,50,0
58800,58800.12,1.84,1444.01,2662.39,50,77.3,12.92,10.92,13.57,2036.42,75.72,50,0
59400,59400.12,1.84,1443.96,2658.02,50,77.42,12.92,10.92,13.33,2031.95,75.83,50,0
60000,60000.12,1.84,1443.91,2653.64,50,77.55,12.92,10.92,13.1,2027.48,75.95,50,0
60600,60600.12,1.83,1443.85,2649.27,50,77.67,12.92,10.92,12.87,2023.02,76.07,50,0
61200,61200.12,1.84,1449.11,2663.16,50,77.8,12.92,10.92,12.63,2018.55,76.18,50,0
61800,61800.12,1.83,1445.34,2649.08,50,77.83,12.92,10.91,12.4,2014.08,76.3,50,0
62400,62400.12,1.83,1446.98,2653.57,50,77.87,12.92,10.91,12.28,2017.04,76.36,50,0
63000,63000.12,1.83,1448.63,2658.07,50,77.9,12.92,10.91,12.17,2020.01,76.42,50,0
63600,63600.13,1.84,1450.27,2662.57,50,77.93,12.92,10.91,12.05,2022.97,76.48,50,0
64200,64200.13,1.84,1451.91,2667.06,50,77.97,12.92,10.91,11.93,2025.93,76.53,50,0
64800,64800.13,1.84,1454.93,2676.31,50,78,12.92,10.91,11.82,2028.9,76.59,50,0
65400,65400.13,1.84,1457.32,2683.36,50,78.03,12.92,10.91,11.7,2031.86,76.65,50,0
66000,66000.13,1.84,1461.08,2695.15,50,78.07,12.92,10.91,11.6,2040.8,76.7,50,0
66600,66600.13,1.85,1464.84,2706.94,50,78.1,12.92,10.91,11.5,2049.74,76.75,50,0
67200,67200.13,1.85,1468.6,2718.73,50,78.13,12.92,10.91,11.4,2058.67,76.8,50,0
67800,67800.13,1.85,1472.35,2730.53,50,78.17,12.91,10.91,11.3,2067.61,76.85,50,0
68400,68400.14,1.86,1477.84,2748.39,50,78.2,12.91,10.91,11.2,2076.55,76.9,50,0
69000,69000.14,1.86,1479.33,2752.36,50,78.23,12.91,10.91,11.1,2085.49,76.95,50,0
69600,69600.14,1.86,1482.56,2762.4,50,78.27,12.91,10.91,11,2094.36,77,50,0
70200,70200.14,1.87,1485.79,2772.44,50,78.3,12.91,10.91,10.9,2103.24,77.05,50,0
70800,70800.14,1.87,1489.01,2782.47,50,78.33,12.91,10.91,10.8,2112.11,77.1,50,0
71400,71400.14,1.87,1492.23,2792.51,50,78.37,12.91,10.91,10.7,2120.98,77.15,50,0
72000,72000.14,1.88,1496.56,2806.44,50,78.4,12.91,10.91,10.6,2129.86,77.2,50,0
72600,72600.15,1.87,1494.7,2798.77,50,78.43,12.91,10.92,10.5,2138.73,77.25,50,0
73200,73200.15,1.87,1493.95,2794.99,50,78.47,12.91,10.92,10.38,2139.51,77.31,50,0
73800,73800.15,1.87,1493.19,2791.22,50,78.5,12.91,10.92,10.27,2140.29,77.37,50,0
74400,74400.15,1.87,1492.44,2787.44,50,78.53,12.91,10.92,10.15,2141.07,77.43,50,0
75000,75000.15,1.87,1491.68,2783.66,50,78.57,12.91,10.92,10.03,2141.84,77.48,50,0
75600,75600.15,1.87,1491.8,2782.94,50,78.6,12.91,10.92,9.92,2142.62,77.54,50,0
76200,76200.16,1.86,1485.21,2758.96,50,78.63,12.91,10.92,9.8,2143.4,77.6,50,0
76800,76800.16,1.85,1479.47,2738.05,50,78.67,12.91,10.92,9.7,2132.95,77.65,50,0
77400,77400.16,1.84,1473.7,2717.13,50,78.7,12.91,10.92,9.6,2122.5,77.7,50,0
78000,78000.16,1.84,1467.92,2696.21,50,78.73,12.91,10.92,9.5,2112.05,77.75,50,0
78600,78600.16,1.83,1462.11,2675.29,50,78.77,12.91,10.92,9.4,2101.61,77.8,50,0
79200,79200.16,1.82,1456.82,2656.22,50,78.8,12.91,10.92,9.3,2091.16,77.85,50,0
79800,79800.16,1.81,1444.67,2614.01,50,78.83,12.91,10.93,9.2,2080.71,77.9,50,0
80400,80400.16,1.8,1432.98,2573.65,50,78.87,12.91,10.93,9.08,2056.83,77.96,50,0
81000,81000.16,1.78,1421.2,2533.3,50,78.9,12.91,10.93,8.97,2032.95,78.02,50,0
81600,81600.16,1.77,1409.33,2492.94,50,78.93,12.91,10.93,8.85,2009.08,78.08,50,0
82200,82200.16,1.76,1397.38,2452.58,50,78.97,12.91,10.93,8.73,1985.2,78.13,50,0
82800,82800.16,1.74,1385.75,2413.61,50,79,12.91,10.93,8.62,1961.33,78.19,50,0
83400,83400.16,1.73,1374.31,2375.49,50,79.03,12.91,10.93,8.5,1937.45,78.25,50,0
84000,84000.17,1.72,1363.21,2338.75,50,79.07,12.91,10.93,8.4,1915.38,78.3,50,0
84600,84600.17,1.7,1352.03,2302.02,50,79.1,12.91,10.93,8.3,1893.3,78.35,50,0
85200,85200.17,1.69,1340.76,2265.28,50,79.13,12.91,10.93,8.2,1871.23,78.4,50,0
85800,85800.17,1.68,1329.41,2228.55,50,79.17,12.91,10.93,8.1,1849.15,78.45,50,0
86400,86400.17,1.66,1318.19,2192.51,50,79.2,12.91,10.93,8,1827.08,78.5,50,0
87000,87000.17,1.66,1319.22,2193.68,50,79.27,12.91,10.91,7.9,1805.01,78.55,50,0
87600,87600.17,1.66,1320.41,2195.4,50,79.35,12.91,10.91,7.75,1809.06,78.63,50,0
88200,88200.18,1.66,1321.6,2197.11,50,79.42,12.91,10.91,7.6,1813.1,78.7,50,0
88800,88800.18,1.66,1322.8,2198.83,50,79.5,12.91,10.91,7.45,1817.15,78.78,50,0
89400,89400.18,1.66,1323.99,2200.54,50,79.57,12.91,10.91,7.3,1821.2,78.85,50,0
90000,90000.18,1.66,1327.01,2207.98,50,79.65,12.91,10.91,7.15,1825.24,78.93,50,0
90600,90600.18,1.66,1324.91,2199.37,50,79.72,12.91,10.92,7,1829.29,79,50,0
91200,91200.18,1.66,1324.62,2196.49,50,79.8,12.91,10.92,6.85,1829.43,79.08,50,0
91800,91800.19,1.66,1324.34,2193.6,50,79.87,12.91,10.92,6.7,1829.57,79.15,50,0
92400,92400.19,1.65,1324.05,2190.72,50,79.95,12.91,10.91,6.55,1829.72,79.23,50,0
93000,93000.19,1.65,1323.76,2187.83,50,80.02,12.91,10.91,6.4,1829.86,79.3,50,0
93600,93600.19,1.65,1325.59,2191.58,50,80.1,12.91,10.91,6.25,1830.01,79.38,50,0
94200,94200.19,1.65,1328.29,2197.92,50,80.17,12.91,10.91,6.1,1830.15,79.45,50,0
94800,94800.19,1.66,1333.1,2210.89,50,80.25,12.91,10.91,5.93,1844.05,79.53,50,0
95400,95400.19,1.66,1337.91,2223.86,50,80.32,12.91,10.91,5.77,1857.95,79.62,50,0
96000,96000.2,1.67,1342.71,2236.83,50,80.4,12.91,10.91,5.6,1871.84,79.7,50,0
96600,96600.2,1.67,1347.51,2249.79,50,80.47,12.91,10.91,5.43,1885.74,79.78,50,0
97200,97200.2,1.67,1352.59,2263.68,50,80.55,12.91,10.91,5.27,1899.64,79.87,50,0
97800,97800.2,1.68,1354.93,2269.87,50,80.59,12.91,10.91,5.1,1913.53,79.95,50,0
98400,98400.2,1.68,1357.59,2277.1,50,80.63,12.91,10.91,5.02,1923.68,79.99,50,0
99000,99000.2,1.68,1360.25,2284.32,50,80.67,12.91,10.91,4.93,1933.83,80.03,50,0
99600,99600.2,1.68,1362.91,2291.55,50,80.72,12.91,10.91,4.85,1943.98,80.08,50,0
100200,100200.2,1.68,1365.57,2298.78,50,80.76,12.91,10.91,4.77,1954.14,80.12,50,0
100800,100800.2,1.69,1368.73,2307.61,50,80.8,12.91,10.91,4.68,1964.29,80.16,50,0
101400,101400.2,1.7,1379.57,2340.99,50,80.83,12.91,10.9,4.6,1974.44,80.2,50,0
102000,102000.2,1.71,1390.87,2376,50,80.87,12.91,10.9,4.52,2007.66,80.24,50,0
102600,102600.2,1.72,1402.1,2411.01,50,80.9,12.91,10.9,4.43,2040.87,80.28,50,0
103200,103200.2,1.73,1413.27,2446.02,50,80.93,12.91,10.9,4.35,2074.08,80.33,50,0
103800,103800.21,1.74,1424.37,2481.03,50,80.97,12.91,10.9,4.27,2107.29,80.37,50,0
104400,104400.21,1.75,1436.14,2518.41,50,81,12.91,10.9,4.18,2140.51,80.41,50,0
105000,105000.21,1.77,1454.38,2577.04,50,81.04,12.91,10.89,4.1,2173.73,80.45,50,0
105600,105600.21,1.79,1473.16,2638,50,81.08,12.91,10.88,4.02,2228.47,80.49,50,0
106200,106200.21,1.81,1491.77,2698.97,50,81.12,12.91,10.88,3.93,2283.22,80.53,50,0
106800,106800.21,1.83,1510.22,2759.93,50,81.17,12.91,10.88,3.85,2337.96,80.58,50,0
107400,107400.21,1.85,1528.52,2820.89,50,81.21,12.91,10.88,3.77,2392.71,80.62,50,0
108000,108000.22,1.86,1547.05,2883.15,50,81.25,12.91,10.88,3.68,2447.45,80.66,50,0
108600,108600.22,1.88,1565.39,2945.86,50,81.27,12.91,10.88,3.6,2502.2,80.7,50,0
109200,109200.22,1.9,1583.96,3009.92,50,81.3,12.91,10.88,3.53,2559.46,80.73,50,0
109800,109800.22,1.92,1602.39,3073.99,50,81.32,12.91,10.88,3.47,2616.71,80.77,50,0
110400,110400.22,1.94,1620.66,3138.06,50,81.35,12.91,10.88,3.4,2673.97,80.8,50,0
111000,111000.22,1.95,1638.8,3202.12,50,81.37,12.91,10.88,3.33,2731.23,80.83,50,0
111600,111600.23,1.97,1656.93,3266.7,50,81.4,12.91,10.88,3.27,2788.49,80.87,50,0
112200,112200.23,1.98,1664.24,3291.97,50,81.43,12.91,10.9,3.2,2845.74,80.9,50,0
112800,112800.23,1.98,1671.67,3317.73,50,81.47,12.91,10.9,3.13,2872.09,80.93,50,0
113400,113400.23,1.99,1679.08,3343.49,50,81.5,12.91,10.9,3.07,2898.43,80.97,50,0
114000,114000.23,2,1686.47,3369.26,50,81.53,12.91,10.9,3,2924.78,81,50,0
114600,114600.23,2,1693.85,3395.02,50,81.57,12.91,10.9,2.93,2951.13,81.03,50,0
115200,115200.23,2.01,1701.18,3420.68,50,81.6,12.91,10.9,2.87,2977.48,81.07,50,0
115800,115800.23,2.01,1695.05,3400.12,50,81.55,12.91,10.92,2.8,3003.81,81.1,50,0
116400,116400.23,2,1688.98,3379.76,50,81.5,12.91,10.92,2.78,2992.67,81.11,50,0
117000,117000.23,2,1682.89,3359.39,50,81.45,12.91,10.92,2.77,2981.54,81.12,50,0
117600,117600.23,1.99,1676.79,3339.03,50,81.4,12.91,10.92,2.75,2970.4,81.12,50,0
118200,118200.23,1.99,1670.69,3318.67,50,81.35,12.91,10.92,2.73,2959.27,81.13,50,0
118800,118800.23,1.98,1664.3,3297.33,50,81.3,12.91,10.92,2.72,2948.13,81.14,50,0
119400,119400.24,1.97,1647.9,3246.71,50,81.07,12.91,10.93,2.7,2936.99,81.15,50,0
120000,120000.24,1.96,1631.35,3195.76,50,80.83,12.91,10.93,2.78,2902.65,81.11,50,0
120600,120600.24,1.95,1614.75,3144.82,50,80.6,12.91,10.93,2.87,2868.31,81.07,50,0
121200,121200.24,1.94,1598.1,3093.87,50,80.37,12.91,10.93,2.95,2833.97,81.02,50,0
121800,121800.24,1.92,1581.4,3042.92,50,80.13,12.91,10.93,3.03,2799.63,80.98,50,0
122400,122400.24,1.91,1564.58,2991.75,50,79.9,12.91,10.93,3.12,2765.29,80.94,50,0
123000,123000.24,1.9,1549.68,2946.36,50,79.7,12.91,10.93,3.2,2730.96,80.9,50,0
123600,123600.25,1.89,1534.63,2900.62,50,79.5,12.91,10.93,3.32,2701.08,80.84,50,0
124200,124200.25,1.88,1519.53,2854.89,50,79.3,12.91,10.93,3.43,2671.21,80.78,50,0
124800,124800.25,1.87,1504.38,2809.15,50,79.1,12.91,10.93,3.55,2641.34,80.72,50,0
125400,125400.25,1.86,1489.17,2763.42,50,78.9,12.91,10.93,3.67,2611.47,80.67,50,0
126000,126000.25,1.84,1473.56,2716.45,50,78.7,12.91,10.93,3.78,2581.59,80.61,50,0
126600,126600.25,1.83,1461.93,2682.24,50,78.53,12.91,10.93,3.9,2551.73,80.55,50,0
127200,127200.26,1.83,1449.88,2646.69,50,78.37,12.91,10.93,4,2530.4,80.5,50,0
127800,127800.26,1.82,1437.79,2611.13,50,78.2,12.91,10.93,4.1,2509.08,80.45,50,0
128400,128400.26,1.81,1425.66,2575.58,50,78.03,12.91,10.93,4.2,2487.76,80.4,50,0
129000,129000.26,1.8,1413.5,2540.02,50,77.87,12.91,10.93,4.3,2466.44,80.35,50,0
129600,129600.26,1.79,1401.26,2504.36,50,77.7,12.91,10.93,4.4,2445.12,80.3,50,0
130200,130200.26,1.78,1390.95,2473.43,50,77.59,12.91,10.92,4.5,2423.79,80.25,50,0
130800,130800.26,1.77,1380.52,2442.19,50,77.48,12.91,10.92,4.58,2405.11,80.21,50,0
131400,131400.27,1.76,1370.05,2410.95,50,77.38,12.91,10.92,4.67,2386.42,80.17,50,0
132000,132000.27,1.75,1359.54,2379.71,50,77.27,12.91,10.92,4.75,2367.74,80.12,50,0
132600,132600.27,1.74,1348.99,2348.48,50,77.16,12.91,10.92,4.83,2349.05,80.08,50,0
133200,133200.27,1.73,1338.37,2317.14,50,77.05,12.91,10.92,4.92,2330.37,80.04,50,0
133800,133800.27,1.73,1331.85,2297.98,50,76.98,12.91,10.92,5,2311.69,80,50,0
134400,134400.27,1.72,1325.24,2278.57,50,76.92,12.91,10.92,5,2303.68,80,50,0
135000,135000.27,1.71,1318.61,2259.16,50,76.85,12.91,10.92,5,2295.67,80,50,0
135600,135600.27,1.71,1311.97,2239.75,50,76.78,12.91,10.92,5,2287.66,80,50,0
136200,136200.27,1.7,1305.31,2220.34,50,76.72,12.91,10.92,5,2279.65,80,50,0
136800,136800.28,1.69,1298.61,2200.86,50,76.65,12.91,10.92,5,2271.64,80,50,0
137400,137400.28,1.69,1295.76,2192.28,50,76.63,12.91,10.91,5,2263.64,80,50,0
138000,138000.28,1.69,1292.84,2183.45,50,76.62,12.91,10.91,4.98,2265.45,80.01,50,0
138600,138600.28,1.69,1289.9,2174.62,50,76.6,12.91,10.91,4.97,2267.26,80.02,50,0
139200,139200.28,1.68,1286.97,2165.78,50,76.58,12.91,10.91,4.95,2269.07,80.03,50,0
139800,139800.28,1.68,1284.03,2156.95,50,76.57,12.91,10.91,4.93,2270.89,80.03,50,0
140400,140400.28,1.68,1280.84,2147.32,50,76.55,12.91,10.91,4.92,2272.7,80.04,50,0
141000,141000.28,1.67,1279.21,2140.83,50,76.6,12.91,10.91,4.9,2274.51,80.05,50,0
141600,141600.28,1.67,1277.25,2133.31,50,76.65,12.91,10.91,4.85,2276.22,80.08,50,0
142200,142200.28,1.67,1275.29,2125.79,50,76.7,12.91,10.91,4.8,2277.92,80.1,50,0
142800,142800.28,1.66,1273.33,2118.27,50,76.75,12.91,10.91,4.75,2279.63,80.13,50,0
143400,143400.28,1.66,1271.35,2110.75,50,76.8,12.91,10.91,4.7,2281.34,80.15,50,0
144000,144000.28,1.66,1269.84,2104.68,50,76.85,12.91,10.91,4.65,2283.05,80.18,50,0
144600,144600.3,1.66,1273.11,2110.84,50,77,12.91,10.91,4.6,2284.76,80.2,50,0
145200,145200.3,1.66,1276.73,2118.1,50,77.15,12.91,10.91,4.52,2299.64,80.24,50,0
145800,145800.3,1.66,1280.35,2125.36,50,77.3,12.91,10.91,4.43,2314.53,80.28,50,0
146400,146400.3,1.66,1283.97,2132.62,50,77.45,12.91,10.91,4.35,2329.41,80.33,50,0
147000,147000.3,1.66,1287.59,2139.88,50,77.6,12.91,10.91,4.27,2344.29,80.37,50,0
147600,147600.3,1.66,1291.15,2146.97,50,77.75,12.91,10.91,4.18,2359.18,80.41,50,0
148200,148200.3,1.67,1299.35,2170.36,50,77.83,12.91,10.9,4.1,2374.07,80.45,50,0
148800,148800.3,1.68,1307.53,2193.79,50,77.92,12.91,10.9,4.02,2406.47,80.49,50,0
149400,149400.3,1.69,1315.68,2217.23,50,78,12.91,10.9,3.93,2438.86,80.53,50,0
150000,150000.3,1.69,1323.81,2240.66,50,78.08,12.91,10.9,3.85,2471.26,80.58,50,0
150600,150600.3,1.7,1331.91,2264.1,50,78.17,12.91,10.9,3.77,2503.66,80.62,50,0
151200,151200.3,1.71,1339.96,2287.45,50,78.25,12.91,10.9,3.68,2536.06,80.66,50,0
151800,151800.3,1.71,1345.67,2303.1,50,78.34,12.91,10.9,3.6,2568.45,80.7,50,0
152400,152400.31,1.72,1351.33,2318.64,50,78.43,12.91,10.9,3.53,2590.53,80.73,50,0
153000,153000.31,1.72,1356.98,2334.18,50,78.52,12.91,10.9,3.47,2612.6,80.77,50,0
153600,153600.31,1.72,1362.63,2349.72,50,78.62,12.91,10.9,3.4,2634.67,80.8,50,0
154200,154200.31,1.73,1368.26,2365.26,50,78.71,12.91,10.9,3.33,2656.74,80.83,50,0
154800,154800.31,1.73,1374.47,2382.71,50,78.8,12.91,10.9,3.27,2678.81,80.87,50,0
155400,155400.31,1.73,1375.97,2384.85,50,78.89,12.91,10.91,3.2,2700.88,80.9,50,0
156000,156000.31,1.73,1378.06,2388.91,50,78.98,12.91,10.91,3.12,2708.03,80.94,50,0
